name,id,date,defect1,defect2,defect3,defect4,defect5,defect6,defect7,defect8,defect9,defect10,defect11,defect12
be68a10f-563b-4933-af05-f26aa644498a, cc1872cb-27a4-4386-a45b-45e72c7ee673, 2022-03-30 05:49:21.120344+00:00, tailing x 18,broken x 2,Oval x 15,Diameter x 8,Diameter_1_1_57.57 x 1,Diameter_1_2_50.34 x 1,Diameter_2_1_51.55 x 1,Diameter_2_2_50.34 x 1,Diameter_2_3_51.07 x 1,Diameter_2_6_50.83 x 1,Diameter_3_1_50.58 x 1,Diameter_3_3_51.31 x 1 
cf96a89b-0d51-46aa-8813-c520e08ea831, 855216d0-8a42-4403-b376-967c83870322, 2022-03-30 05:49:19.105210+00:00, broken x 2,tailing x 18,Oval x 13,Diameter x 7,Diameter_1_1_60.7 x 1,Diameter_2_1_50.58 x 1,Diameter_2_2_50.34 x 1,Diameter_2_5_51.07 x 1,Diameter_2_6_51.07 x 1,Diameter_3_1_50.1 x 1,Diameter_3_5_51.07 x 1 ,
2b23d3ff-6979-4527-813c-9519215a3a84, cc1872cb-27a4-4386-a45b-45e72c7ee673, 2022-03-30 05:49:21.661933+00:00, broken x 3,tailing x 18,Oval x 14,Diameter x 8,Diameter_1_1_50.58 x 1,Diameter_1_6_50.58 x 1,Diameter_2_1_56.85 x 1,Diameter_2_5_45.53 x 1,Diameter_3_2_50.58 x 1,Diameter_3_3_40.47 x 1,Diameter_3_5_6.26 x 1,Diameter_3_6_50.83 x 1 
91196a4f-e0b8-4c96-ab15-c26ef30d93a7, 101272d5-8276-477b-b398-e028d95e321c, 2022-03-30 05:49:24.266102+00:00, creamout x 2,broken x 10,Oval x 9,Diameter x 6,Diameter_1_1_50.1 x 1,Diameter_1_5_43.84 x 1,Diameter_2_2_45.29 x 1,Diameter_2_3_45.77 x 1,Diameter_2_5_45.77 x 1,Diameter_2_6_50.58 x 1 ,,
b9a271e8-ae5c-4537-8994-931758ca83fb, cc1872cb-27a4-4386-a45b-45e72c7ee673, 2022-03-30 05:49:22.150765+00:00, creamout x 2,broken x 10,Oval x 9,Diameter x 6,Diameter_1_1_50.1 x 1,Diameter_1_4_43.84 x 1,Diameter_2_2_45.29 x 1,Diameter_2_3_45.77 x 1,Diameter_2_5_51.07 x 1,Diameter_2_6_45.77 x 1 ,,
320a616c-2ef3-44b6-a470-31d64865e491, 101272d5-8276-477b-b398-e028d95e321c, 2022-03-30 05:49:24.503999+00:00, creamout x 2,broken x 10,Oval x 9,Diameter x 6,Diameter_1_1_50.1 x 1,Diameter_1_4_43.84 x 1,Diameter_2_2_45.29 x 1,Diameter_2_3_45.77 x 1,Diameter_2_5_51.07 x 1,Diameter_2_6_45.77 x 1 ,,
76a2e814-8a36-43e9-9a36-c19c548cf958, 101272d5-8276-477b-b398-e028d95e321c, 2022-03-30 05:49:24.723077+00:00, creamout x 2,broken x 10,Oval x 9,Diameter x 6,Diameter_1_1_50.1 x 1,Diameter_1_5_43.84 x 1,Diameter_2_2_45.29 x 1,Diameter_2_3_45.77 x 1,Diameter_2_5_45.77 x 1,Diameter_2_6_50.58 x 1 ,,
7080ad52-bced-412f-9d7e-95115d13787c, c5c70682-f180-4d75-80bf-25d576997275, 2022-03-30 05:49:26.250390+00:00, broken x 2,tailing x 18,Oval x 15,Diameter x 8,Diameter_1_1_57.57 x 1,Diameter_1_2_50.34 x 1,Diameter_2_1_51.55 x 1,Diameter_2_2_50.34 x 1,Diameter_2_3_51.07 x 1,Diameter_2_6_50.83 x 1,Diameter_3_1_50.58 x 1,Diameter_3_3_51.31 x 1 
c4148b92-a18e-4e35-9d4d-396afc1912f2, c5c70682-f180-4d75-80bf-25d576997275, 2022-03-30 05:49:26.858951+00:00, creamout x 2,broken x 10,Oval x 9,Diameter x 6,Diameter_1_1_50.1 x 1,Diameter_1_5_43.84 x 1,Diameter_2_2_45.29 x 1,Diameter_2_3_45.77 x 1,Diameter_2_5_45.77 x 1,Diameter_2_6_50.58 x 1 ,,
47f50aa3-2868-4488-b9f5-77a0837e7f2f, 46680b32-a1e5-4262-9b47-17ef401f11e9, 2022-03-30 07:00:54.654193+00:00, broken x 2,tailing x 18,Oval x 15,Diameter x 8,Diameter_1_1_57.57 x 1,Diameter_1_2_50.34 x 1,Diameter_2_1_51.55 x 1,Diameter_2_2_50.34 x 1,Diameter_2_3_51.07 x 1,Diameter_2_6_50.83 x 1,Diameter_3_1_50.58 x 1,Diameter_3_3_51.31 x 1 
